"customer_id","registration_date","customer_segments","total_orders","average_order_value","order_id","order_date","promised_delivery_time","actual_delivery_time","delivery_status","order_total","payment_method","delivery_partner_id","store_id","product_id","quantity","unit_price","total_price","product_name","category","brand","price","mrp","margin_percentage","shelf_life_days","min_stock_level","max_stock_level","promised_time","actual_time","delivery_time_minutes","distance_km","dp_delivery_status","reasons_if_delayed","feedback_id","rating","feedback_text","feedback_category","sentiment","feedback_date","rating_icon","emoji","star","category_name","category_img"
30065862,"2024-09-02","Regular",13,"749.95","1961864118","2024-07-17","08:52:01","08:47:01","On Time","3197.07","Cash",63230,"4771",642612,3,"517.03","1551.09","Pet Treats","Pet Care","Pillay-Ahuja","517.03","795.43",35,365,16,57,"08:52:00","08:47:00",-5,"0.96","On Time","Unknown",2234710,4,"It was okay, nothing special.","Delivery","Neutral","2024-07-17",4,"https://i.postimg.cc/X7XSGhNR/smile.png","⭐⭐⭐⭐","Pet Care","https://i.postimg.cc/FRMdmQjx/pet-food.png"
9573071,"2023-11-07","New",5,"958.06","1549769649","2024-05-28","13:25:29","13:27:29","On Time","976.55","Cash",14983,"7534",378676,1,"881.42","881.42","Orange Juice","Cold Drinks & Juices","Baral-Kamdar","881.42","1259.17",30,180,19,65,"13:25:00","13:27:00",2,"0.98","On Time","Traffic",5450964,3,"The order was incorrect.","App Experience","Negative","2024-05-28",3,"https://i.postimg.cc/d02zccny/confused.png","⭐⭐⭐","Cold Drinks & Juices","https://i.postimg.cc/kXrKPWsd/softdrink.png"
45477575,"2024-01-05","Inactive",4,"327.93","9185164487","2024-09-23","13:25:12","13:29:12","On Time","839.05","UPI",39859,"9886",741341,2,"923.84","1847.68","Eggs","Dairy & Breakfast","Prasad LLC","923.84","1154.80",20,7,13,62,"13:25:00","13:29:00",4,"3.83","On Time","Traffic",482108,3,"It was okay, nothing special.","App Experience","Neutral","2024-09-23",3,"https://i.postimg.cc/d02zccny/confused.png","⭐⭐⭐","Dairy & Breakfast","https://i.postimg.cc/X7wFjX1B/food.png"
88067569,"2023-12-25","Premium",5,"273.38","9644738826","2023-11-24","16:34:56","16:33:56","On Time","440.23","Card",61497,"7917",561860,1,"874.78","874.78","Orange Juice","Cold Drinks & Juices","Gupta Ltd","874.78","1249.69",30,180,21,90,"16:34:00","16:33:00",-1,"2.76","On Time","Unknown",4823104,4,"The product met my expectations.","App Experience","Neutral","2023-11-24",4,"https://i.postimg.cc/X7XSGhNR/smile.png","⭐⭐⭐⭐","Cold Drinks & Juices","https://i.postimg.cc/kXrKPWsd/softdrink.png"
83298567,"2024-10-02","Premium",14,"763.10","5427684290","2023-11-20","05:17:39","05:18:39","On Time","2526.68","Cash",84315,"2741",602241,2,"976.55","1953.10","Nuts","Snacks & Munchies","Bahl-Pau","976.55","1502.38",35,90,12,75,"05:17:00","05:18:00",1,"2.63","On Time","Traffic",3537464,3,"Product was damaged during delivery.","Delivery","Negative","2023-11-20",3,"https://i.postimg.cc/d02zccny/confused.png","⭐⭐⭐","Snacks & Munchies","https://i.postimg.cc/CKP7Ydrp/snacks.png"
43367112,"2023-12-14","New",19,"1861.66","3265154092","2023-03-18","16:49:51","16:48:51","On Time","3161.43","UPI",554,"3442",681063,1,"321.28","321.28","Mango Drink","Cold Drinks & Juices","Dass and Sons","321.28","458.97",30,180,20,91,"16:49:00","16:48:00",-1,"1.94","On Time","Unknown",4089724,2,"Product was damaged during delivery.","Customer Service","Negative","2023-03-18",2,"https://i.postimg.cc/zGbrMQ9C/sad.png","⭐⭐","Cold Drinks & Juices","https://i.postimg.cc/kXrKPWsd/softdrink.png"
13284996,"2024-04-11","Regular",9,"449.79","4898355547","2023-04-16","19:01:37","19:02:37","On Time","956.40","Card",14630,"1318",56589,3,"517.77","1553.31","Vitamins","Pharmacy","Pai, Kashyap and Ramachandran","517.77","647.21",20,365,16,85,"19:01:00","19:02:00",1,"2.20","On Time","Traffic",230696,4,"Highly recommended!","Product Quality","Positive","2023-04-16",4,"https://i.postimg.cc/X7XSGhNR/smile.png","⭐⭐⭐⭐","Pharmacy","https://i.postimg.cc/W3x7FCP9/pharmacy.png"
88866835,"2023-11-01","Premium",6,"506.63","6568151549","2024-03-31","06:37:48","06:39:48","On Time","905.47","Cash",67714,"115",500739,2,"359.98","719.96","Bread","Dairy & Breakfast","Aggarwal Group","359.98","449.98",20,7,18,81,"06:37:00","06:39:00",2,"1.30","On Time","Traffic",2259308,2,"I had a bad experience.","App Experience","Negative","2024-03-31",2,"https://i.postimg.cc/zGbrMQ9C/sad.png","⭐⭐","Dairy & Breakfast","https://i.postimg.cc/X7wFjX1B/food.png"
24496983,"2023-12-04","Regular",17,"1262.44","6006693867","2023-07-13","00:02:36","00:05:36","On Time","1371.17","Card",91362,"9021",490939,1,"80.25","80.25","Lotion","Personal Care","Roy, Barad and De","80.25","123.46",35,365,12,67,"00:02:00","00:05:00",3,"3.38","On Time","Traffic",7380970,3,"Product was damaged during delivery.","Delivery","Negative","2023-07-14",3,"https://i.postimg.cc/d02zccny/confused.png","⭐⭐⭐","Personal Care","https://i.postimg.cc/hvmm7GSw/personal-care.png"
52215833,"2024-09-27","Regular",5,"305.65","374186990","2023-08-09","01:37:30","01:44:30","Slightly Delayed","1601.19","Wallet",77203,"7955",760828,2,"563.45","1126.90","Pet Treats","Pet Care","Khurana, Khosla and Yohannan","563.45","866.85",35,365,23,93,"01:37:00","01:44:00",7,"1.47","Slightly Delayed","Traffic",2257242,3,"The product met my expectations.","App Experience","Neutral","2023-08-09",3,"https://i.postimg.cc/d02zccny/confused.png","⭐⭐⭐","Pet Care","https://i.postimg.cc/FRMdmQjx/pet-food.png"
